parameter,rhat,experiment,condition,model_name
b_Intercept,1.0007251879816979,exp2,payoff,full
b_hu_Intercept,1.0007508477640406,exp2,payoff,full
b_stim,1.0000538923652635,exp2,payoff,full
b_condpresent,1.0001167993564035,exp2,payoff,full
b_stim:condpresent,0.9999625116490914,exp2,payoff,full
b_hu_stim,1.0001587482951806,exp2,payoff,full
b_hu_condpresent,1.0003312355810126,exp2,payoff,full
b_hu_stim:condpresent,1.0001321054159533,exp2,payoff,full
sd_participant__Intercept,1.0002262062357579,exp2,payoff,full
sd_participant__condpresent,1.0002336840301604,exp2,payoff,full
sd_participant__hu_Intercept,1.0000901252193501,exp2,payoff,full
sd_participant__hu_condpresent,1.0000522700913217,exp2,payoff,full
cor_participant__Intercept__condpresent,1.0001518175285964,exp2,payoff,full
cor_participant__hu_Intercept__hu_condpresent,1.000069166481322,exp2,payoff,full
sigma,1.0001723840076246,exp2,payoff,full
Intercept,1.0009366629897525,exp2,payoff,full
Intercept_hu,1.0006981326372455,exp2,payoff,full
"r_participant[116,Intercept]",1.0005249091769344,exp2,payoff,full
"r_participant[117,Intercept]",1.0005425213766275,exp2,payoff,full
"r_participant[118,Intercept]",1.0001867667779767,exp2,payoff,full
"r_participant[119,Intercept]",1.0003778200058955,exp2,payoff,full
"r_participant[120,Intercept]",1.0004567650166747,exp2,payoff,full
"r_participant[121,Intercept]",1.0005336745982045,exp2,payoff,full
"r_participant[122,Intercept]",1.000483951522258,exp2,payoff,full
"r_participant[123,Intercept]",1.0001990710344424,exp2,payoff,full
"r_participant[124,Intercept]",1.000359702408937,exp2,payoff,full
"r_participant[126,Intercept]",1.000509640252792,exp2,payoff,full
"r_participant[127,Intercept]",1.000266508305028,exp2,payoff,full
"r_participant[128,Intercept]",1.00024141185746,exp2,payoff,full
"r_participant[129,Intercept]",1.0003681374243945,exp2,payoff,full
"r_participant[130,Intercept]",1.0003527267299086,exp2,payoff,full
"r_participant[131,Intercept]",1.0003861028797978,exp2,payoff,full
"r_participant[132,Intercept]",1.0005130637029713,exp2,payoff,full
"r_participant[133,Intercept]",1.0002864552394461,exp2,payoff,full
"r_participant[134,Intercept]",1.0006151484456416,exp2,payoff,full
"r_participant[135,Intercept]",1.0006787427327322,exp2,payoff,full
"r_participant[136,Intercept]",1.000440503754793,exp2,payoff,full
"r_participant[137,Intercept]",1.0004337662560308,exp2,payoff,full
"r_participant[138,Intercept]",1.000642257476703,exp2,payoff,full
"r_participant[139,Intercept]",1.0002445141876903,exp2,payoff,full
"r_participant[140,Intercept]",1.0004900655551154,exp2,payoff,full
"r_participant[141,Intercept]",1.0004559681568357,exp2,payoff,full
"r_participant[142,Intercept]",1.0003205476605874,exp2,payoff,full
"r_participant[143,Intercept]",1.0002589273657754,exp2,payoff,full
"r_participant[145,Intercept]",1.0003396247910508,exp2,payoff,full
"r_participant[146,Intercept]",1.0002740316061212,exp2,payoff,full
"r_participant[147,Intercept]",1.0000939415137793,exp2,payoff,full
"r_participant[148,Intercept]",1.0003560532309377,exp2,payoff,full
"r_participant[149,Intercept]",1.000252985410778,exp2,payoff,full
"r_participant[150,Intercept]",1.0003497870716656,exp2,payoff,full
"r_participant[151,Intercept]",1.000451632828199,exp2,payoff,full
"r_participant[152,Intercept]",1.000395629442266,exp2,payoff,full
"r_participant[153,Intercept]",1.0002155643721957,exp2,payoff,full
"r_participant[154,Intercept]",1.0002864811634573,exp2,payoff,full
"r_participant[155,Intercept]",1.0002100519671804,exp2,payoff,full
"r_participant[157,Intercept]",1.0002755288301477,exp2,payoff,full
"r_participant[158,Intercept]",1.0002459696131203,exp2,payoff,full
"r_participant[159,Intercept]",1.0002185297260129,exp2,payoff,full
"r_participant[160,Intercept]",1.0003818972554777,exp2,payoff,full
"r_participant[161,Intercept]",1.0003561045082683,exp2,payoff,full
"r_participant[162,Intercept]",1.0003067184233674,exp2,payoff,full
"r_participant[163,Intercept]",1.000329453898961,exp2,payoff,full
"r_participant[164,Intercept]",1.0001379869697364,exp2,payoff,full
"r_participant[165,Intercept]",1.0005264821155238,exp2,payoff,full
"r_participant[166,Intercept]",1.000433606356334,exp2,payoff,full
"r_participant[167,Intercept]",1.0004468016257384,exp2,payoff,full
"r_participant[168,Intercept]",1.0005984620039474,exp2,payoff,full
"r_participant[116,condpresent]",1.000070236535246,exp2,payoff,full
"r_participant[117,condpresent]",1.0000668412618303,exp2,payoff,full
"r_participant[118,condpresent]",1.0002056255816343,exp2,payoff,full
"r_participant[119,condpresent]",1.0000662546797958,exp2,payoff,full
"r_participant[120,condpresent]",1.000097013437382,exp2,payoff,full
"r_participant[121,condpresent]",1.0002152084815834,exp2,payoff,full
"r_participant[122,condpresent]",1.0001834385258472,exp2,payoff,full
"r_participant[123,condpresent]",1.00007612804671,exp2,payoff,full
"r_participant[124,condpresent]",1.00002258589267,exp2,payoff,full
"r_participant[126,condpresent]",1.0001041394238488,exp2,payoff,full
"r_participant[127,condpresent]",1.0000494011452024,exp2,payoff,full
"r_participant[128,condpresent]",1.0000230200313118,exp2,payoff,full
"r_participant[129,condpresent]",1.0001270786029501,exp2,payoff,full
"r_participant[130,condpresent]",1.0000775634824064,exp2,payoff,full
"r_participant[131,condpresent]",1.0000470186395762,exp2,payoff,full
"r_participant[132,condpresent]",1.0000868399515253,exp2,payoff,full
"r_participant[133,condpresent]",1.000118937624659,exp2,payoff,full
"r_participant[134,condpresent]",1.000042530706847,exp2,payoff,full
"r_participant[135,condpresent]",1.000102714366066,exp2,payoff,full
"r_participant[136,condpresent]",1.0000788354656425,exp2,payoff,full
"r_participant[137,condpresent]",1.0000165624303878,exp2,payoff,full
"r_participant[138,condpresent]",1.0001856433357554,exp2,payoff,full
"r_participant[139,condpresent]",1.0002520361126732,exp2,payoff,full
"r_participant[140,condpresent]",1.0003204611955692,exp2,payoff,full
"r_participant[141,condpresent]",1.0000867629599834,exp2,payoff,full
"r_participant[142,condpresent]",1.0000035062958803,exp2,payoff,full
"r_participant[143,condpresent]",1.0000779970473281,exp2,payoff,full
"r_participant[145,condpresent]",1.0001391646675297,exp2,payoff,full
"r_participant[146,condpresent]",1.0000048210040906,exp2,payoff,full
"r_participant[147,condpresent]",1.0001057199715209,exp2,payoff,full
"r_participant[148,condpresent]",1.0000976808039654,exp2,payoff,full
"r_participant[149,condpresent]",1.0000446186340997,exp2,payoff,full
"r_participant[150,condpresent]",1.000029427650801,exp2,payoff,full
"r_participant[151,condpresent]",1.00015360747056,exp2,payoff,full
"r_participant[152,condpresent]",1.000229880021742,exp2,payoff,full
