parameter,rhat,experiment,condition,model_name
b_Intercept,1.000982070932508,exp2,baserate,full
b_hu_Intercept,1.0005621069598305,exp2,baserate,full
b_stim,1.0000715812808898,exp2,baserate,full
b_condpresent,1.0001840150494274,exp2,baserate,full
b_stim:condpresent,0.9999859409220329,exp2,baserate,full
b_hu_stim,0.9999707138213115,exp2,baserate,full
b_hu_condpresent,1.000831406900375,exp2,baserate,full
b_hu_stim:condpresent,0.9999956231331517,exp2,baserate,full
sd_participant__Intercept,1.0005537549446315,exp2,baserate,full
sd_participant__condpresent,1.000155382442499,exp2,baserate,full
sd_participant__hu_Intercept,1.0004445018241752,exp2,baserate,full
sd_participant__hu_condpresent,1.0002281016259857,exp2,baserate,full
cor_participant__Intercept__condpresent,1.0003862257237008,exp2,baserate,full
cor_participant__hu_Intercept__hu_condpresent,1.0006046338075456,exp2,baserate,full
sigma,1.000012715910707,exp2,baserate,full
Intercept,1.0009211480423004,exp2,baserate,full
Intercept_hu,1.0011004620103527,exp2,baserate,full
"r_participant[001,Intercept]",1.0003403652563785,exp2,baserate,full
"r_participant[002,Intercept]",1.0005477091675328,exp2,baserate,full
"r_participant[003,Intercept]",1.0002454052129248,exp2,baserate,full
"r_participant[004,Intercept]",1.0004928457854,exp2,baserate,full
"r_participant[005,Intercept]",1.0004353327824547,exp2,baserate,full
"r_participant[006,Intercept]",1.0004352246840467,exp2,baserate,full
"r_participant[007,Intercept]",1.0002556727681684,exp2,baserate,full
"r_participant[008,Intercept]",1.0004337954404507,exp2,baserate,full
"r_participant[009,Intercept]",1.0003417336412008,exp2,baserate,full
"r_participant[010,Intercept]",1.0003737192365465,exp2,baserate,full
"r_participant[011,Intercept]",1.0003887038633152,exp2,baserate,full
"r_participant[012,Intercept]",1.0004907202684032,exp2,baserate,full
"r_participant[013,Intercept]",1.0006258746638803,exp2,baserate,full
"r_participant[014,Intercept]",1.0003231903128542,exp2,baserate,full
"r_participant[015,Intercept]",1.0001941886723988,exp2,baserate,full
"r_participant[016,Intercept]",1.0002347433273862,exp2,baserate,full
"r_participant[017,Intercept]",1.0003691263220793,exp2,baserate,full
"r_participant[018,Intercept]",1.000365581549154,exp2,baserate,full
"r_participant[019,Intercept]",1.0002025247746364,exp2,baserate,full
"r_participant[020,Intercept]",1.0002267861083196,exp2,baserate,full
"r_participant[021,Intercept]",1.0001129553845671,exp2,baserate,full
"r_participant[022,Intercept]",1.000276381217028,exp2,baserate,full
"r_participant[023,Intercept]",1.0002211824648244,exp2,baserate,full
"r_participant[024,Intercept]",1.0007241737970776,exp2,baserate,full
"r_participant[026,Intercept]",1.0002926816313982,exp2,baserate,full
"r_participant[027,Intercept]",1.0006400215061857,exp2,baserate,full
"r_participant[029,Intercept]",1.0001737638248074,exp2,baserate,full
"r_participant[030,Intercept]",1.000364728948496,exp2,baserate,full
"r_participant[031,Intercept]",1.0003248244832137,exp2,baserate,full
"r_participant[033,Intercept]",1.0003692185111104,exp2,baserate,full
"r_participant[034,Intercept]",1.0003031270793796,exp2,baserate,full
"r_participant[036,Intercept]",1.0003027444594943,exp2,baserate,full
"r_participant[037,Intercept]",1.0003773390761748,exp2,baserate,full
"r_participant[038,Intercept]",1.0003208507032868,exp2,baserate,full
"r_participant[039,Intercept]",1.0005362548475014,exp2,baserate,full
"r_participant[041,Intercept]",1.0001924282457375,exp2,baserate,full
"r_participant[042,Intercept]",1.000445352944157,exp2,baserate,full
"r_participant[043,Intercept]",1.0004595269730334,exp2,baserate,full
"r_participant[044,Intercept]",1.0005261826183522,exp2,baserate,full
"r_participant[045,Intercept]",1.0006269720740877,exp2,baserate,full
"r_participant[046,Intercept]",1.0001836899510783,exp2,baserate,full
"r_participant[047,Intercept]",1.000469220311718,exp2,baserate,full
"r_participant[048,Intercept]",1.0004425425438865,exp2,baserate,full
"r_participant[050,Intercept]",1.0001047033881203,exp2,baserate,full
"r_participant[051,Intercept]",1.000400158091559,exp2,baserate,full
"r_participant[052,Intercept]",1.0004564524780506,exp2,baserate,full
"r_participant[053,Intercept]",1.0002958379455291,exp2,baserate,full
"r_participant[054,Intercept]",1.0004273532231733,exp2,baserate,full
"r_participant[055,Intercept]",1.000212293822448,exp2,baserate,full
"r_participant[056,Intercept]",1.0004589718105237,exp2,baserate,full
"r_participant[057,Intercept]",1.0003609730674816,exp2,baserate,full
"r_participant[058,Intercept]",1.0002978217415162,exp2,baserate,full
"r_participant[059,Intercept]",1.0003326332906186,exp2,baserate,full
"r_participant[060,Intercept]",1.000192601971956,exp2,baserate,full
"r_participant[061,Intercept]",1.0004015806431699,exp2,baserate,full
"r_participant[062,Intercept]",1.0003637578310252,exp2,baserate,full
"r_participant[063,Intercept]",1.0003912791033887,exp2,baserate,full
"r_participant[064,Intercept]",1.0004614355196961,exp2,baserate,full
"r_participant[001,condpresent]",1.000109963185217,exp2,baserate,full
"r_participant[002,condpresent]",1.0000334045308383,exp2,baserate,full
"r_participant[003,condpresent]",1.000188127967132,exp2,baserate,full
"r_participant[004,condpresent]",1.000130680756973,exp2,baserate,full
"r_participant[005,condpresent]",1.0000909449416644,exp2,baserate,full
"r_participant[006,condpresent]",1.000171854547771,exp2,baserate,full
"r_participant[007,condpresent]",0.9999699452179622,exp2,baserate,full
"r_participant[008,condpresent]",1.0001211298342398,exp2,baserate,full
"r_participant[009,condpresent]",1.0001575482748917,exp2,baserate,full
"r_participant[010,condpresent]",1.0000306430748802,exp2,baserate,full
"r_participant[011,condpresent]",1.0001384164204281,exp2,baserate,full
"r_participant[012,condpresent]",1.0000825669526412,exp2,baserate,full
"r_participant[013,condpresent]",1.0001566099189958,exp2,baserate,full
"r_participant[014,condpresent]",1.0002208188614023,exp2,baserate,full
"r_participant[015,condpresent]",1.0000491914894296,exp2,baserate,full
"r_participant[016,condpresent]",1.0002317897260091,exp2,baserate,full
"r_participant[017,condpresent]",1.000088369738749,exp2,baserate,full
"r_participant[018,condpresent]",1.0001584020566097,exp2,baserate,full
"r_participant[019,condpresent]",1.0000346630114054,exp2,baserate,full
"r_participant[020,condpresent]",1.000092289795675,exp2,baserate,full
"r_participant[021,condpresent]",1.0000474691946404,exp2,baserate,full
"r_participant[022,condpresent]",1.000003369830685,exp2,baserate,full
"r_participant[023,condpresent]",1.0000212227232026,exp2,baserate,full
"r_participant[024,condpresent]",1.0001199304611796,exp2,baserate,full
"r_participant[026,condpresent]",1.0000185033867899,exp2,baserate,full
"r_participant[027,condpresent]",1.0001941800661176,exp2,baserate,full
"r_participant[029,condpresent]",1.000025524651354,exp2,baserate,full
"r_participant[030,condpresent]",0.9999965242039544,exp2,baserate,full
"r_participant[031,condpresent]",1.000021613048658,exp2,baserate,full
"r_participant[033,condpresent]",1.0000433993340823,exp2,baserate,full
"r_participant[034,condpresent]",0.9999885138175735,exp2,baserate,full
"r_participant[036,condpresent]",1.0000726637253508,exp2,baserate,full
"r_participant[037,condpresent]",1.0001967614587404,exp2,baserate,full
"r_participant[038,condpresent]",1.000061045467291,exp2,baserate,full
"r_participant[039,condpresent]",1.0000093992987842,exp2,baserate,full
"r_participant[041,condpresent]",1.000085662958774,exp2,baserate,full
"r_participant[042,condpresent]",0.9999912928405548,exp2,baserate,full
"r_participant[043,condpresent]",1.000110550318798,exp2,baserate,full
"r_participant[044,condpresent]",1.0000444343133565,exp2,baserate,full
"r_participant[045,condpresent]",1.0001256376567036,exp2,baserate,full
"r_participant[046,condpresent]",0.9999799304083264,exp2,baserate,full
"r_participant[047,condpresent]",0.9999692672733257,exp2,baserate,full
"r_participant[048,condpresent]",1.0002659666692058,exp2,baserate,full
"r_participant[050,condpresent]",1.0000754255206419,exp2,baserate,full
"r_participant[051,condpresent]",1.0000284025908457,exp2,baserate,full
"r_participant[052,condpresent]",1.0003087774980928,exp2,baserate,full
"r_participant[053,condpresent]",0.999981483012583,exp2,baserate,full
"r_participant[054,condpresent]",1.0002803229387558,exp2,baserate,full
"r_participant[055,condpresent]",1.0000794930916874,exp2,baserate,full
"r_participant[056,condpresent]",1.0001556142672299,exp2,baserate,full
"r_participant[057,condpresent]",1.0000693387014241,exp2,baserate,full
"r_participant[058,condpresent]",1.0000370185361516,exp2,baserate,full
"r_participant[059,condpresent]",1.000026920584528,exp2,baserate,full
"r_participant[060,condpresent]",1.0000063237349148,exp2,baserate,full
"r_participant[061,condpresent]",1.0000782823698837,exp2,baserate,full
"r_participant[062,condpresent]",1.0000716827123144,exp2,baserate,full
"r_participant[063,condpresent]",1.0001538708599569,exp2,baserate,full
"r_participant[064,condpresent]",1.0002324866039127,exp2,baserate,full
"r_participant__hu[001,Intercept]",1.0002383990319248,exp2,baserate,full
"r_participant__hu[002,Intercept]",1.0004045253330371,exp2,baserate,full
"r_participant__hu[003,Intercept]",1.0002690990644982,exp2,baserate,full
"r_participant__hu[004,Intercept]",1.0002920628148066,exp2,baserate,full
"r_participant__hu[005,Intercept]",1.0001404230520359,exp2,baserate,full
