parameter,rhat,experiment,condition,model_name
b_Intercept,1.000305629264262,exp2,baserate,contrast
b_hu_Intercept,1.0007790093473827,exp2,baserate,contrast
b_stim,1.000215381701743,exp2,baserate,contrast
b_condpresent,1.0001368126538517,exp2,baserate,contrast
b_stim:condpresent,1.0002022703756626,exp2,baserate,contrast
b_hu_stim,1.0000460327321117,exp2,baserate,contrast
sd_participant__Intercept,1.0006947398242938,exp2,baserate,contrast
sd_participant__condpresent,1.0002608168621443,exp2,baserate,contrast
sd_participant__hu_Intercept,1.000093444979856,exp2,baserate,contrast
cor_participant__Intercept__condpresent,1.000982527281871,exp2,baserate,contrast
sigma,1.0002037324218898,exp2,baserate,contrast
Intercept,1.0003603513598518,exp2,baserate,contrast
Intercept_hu,1.0008006102528022,exp2,baserate,contrast
"r_participant[001,Intercept]",1.000084831980484,exp2,baserate,contrast
"r_participant[002,Intercept]",1.0003249029575427,exp2,baserate,contrast
"r_participant[003,Intercept]",1.0001397937503824,exp2,baserate,contrast
"r_participant[004,Intercept]",1.0000786083527877,exp2,baserate,contrast
"r_participant[005,Intercept]",1.0000929042737665,exp2,baserate,contrast
"r_participant[006,Intercept]",1.000173299277376,exp2,baserate,contrast
"r_participant[007,Intercept]",1.0000947309177526,exp2,baserate,contrast
"r_participant[008,Intercept]",1.0000923683243461,exp2,baserate,contrast
"r_participant[009,Intercept]",1.0001288855704993,exp2,baserate,contrast
"r_participant[010,Intercept]",1.0001288722264094,exp2,baserate,contrast
"r_participant[011,Intercept]",1.0002987224167756,exp2,baserate,contrast
"r_participant[012,Intercept]",1.0001032624251278,exp2,baserate,contrast
"r_participant[013,Intercept]",1.000087371976515,exp2,baserate,contrast
"r_participant[014,Intercept]",1.0000616013795478,exp2,baserate,contrast
"r_participant[015,Intercept]",1.000218720351223,exp2,baserate,contrast
"r_participant[016,Intercept]",1.0001339282852093,exp2,baserate,contrast
"r_participant[017,Intercept]",1.0001896883742996,exp2,baserate,contrast
"r_participant[018,Intercept]",1.0001236466602579,exp2,baserate,contrast
"r_participant[019,Intercept]",1.0002798699412279,exp2,baserate,contrast
