parameter,rhat,experiment,condition,model_name
b_Intercept,1.0004699654765041,exp1,payoff,hurdle
b_hu_Intercept,1.000392222274106,exp1,payoff,hurdle
b_stim,1.0000624455342106,exp1,payoff,hurdle
b_hu_stim,1.0000672834256525,exp1,payoff,hurdle
b_hu_condpresent,1.0002456447080221,exp1,payoff,hurdle
b_hu_stim:condpresent,1.000021158802993,exp1,payoff,hurdle
sd_participant__Intercept,1.0007911089081896,exp1,payoff,hurdle
sd_participant__hu_Intercept,1.000193094404525,exp1,payoff,hurdle
sd_participant__hu_condpresent,1.000690597858577,exp1,payoff,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.0010444688041136,exp1,payoff,hurdle
sigma,1.0001897165697018,exp1,payoff,hurdle
Intercept,1.0004670467470844,exp1,payoff,hurdle
Intercept_hu,1.000547786340996,exp1,payoff,hurdle
"r_participant[171,Intercept]",1.000399189772334,exp1,payoff,hurdle
"r_participant[172,Intercept]",1.0003939025827986,exp1,payoff,hurdle
"r_participant[173,Intercept]",1.0003109833621102,exp1,payoff,hurdle
"r_participant[174,Intercept]",1.0004022671910902,exp1,payoff,hurdle
"r_participant[175,Intercept]",1.0002285071101136,exp1,payoff,hurdle
"r_participant[176,Intercept]",1.0003542330395738,exp1,payoff,hurdle
"r_participant[177,Intercept]",1.0002719355101766,exp1,payoff,hurdle
"r_participant[178,Intercept]",1.000360473097597,exp1,payoff,hurdle
"r_participant[179,Intercept]",1.0002270983458694,exp1,payoff,hurdle
"r_participant[181,Intercept]",1.000375750220824,exp1,payoff,hurdle
"r_participant[182,Intercept]",1.0002419938698195,exp1,payoff,hurdle
"r_participant[183,Intercept]",1.000324014706179,exp1,payoff,hurdle
"r_participant[184,Intercept]",1.0002049205884704,exp1,payoff,hurdle
"r_participant[185,Intercept]",1.0003882291771515,exp1,payoff,hurdle
"r_participant[186,Intercept]",1.0002908834421216,exp1,payoff,hurdle
"r_participant[187,Intercept]",1.0002808870306543,exp1,payoff,hurdle
"r_participant[188,Intercept]",1.0003265194099404,exp1,payoff,hurdle
"r_participant[189,Intercept]",1.0002263081173841,exp1,payoff,hurdle
"r_participant[190,Intercept]",1.0002888909858878,exp1,payoff,hurdle
"r_participant[191,Intercept]",1.000265302493936,exp1,payoff,hurdle
"r_participant[192,Intercept]",1.000302552064832,exp1,payoff,hurdle
"r_participant[193,Intercept]",1.000307902460258,exp1,payoff,hurdle
"r_participant[195,Intercept]",1.0003237894879486,exp1,payoff,hurdle
"r_participant[196,Intercept]",1.0003276351019563,exp1,payoff,hurdle
"r_participant[197,Intercept]",1.00029849830899,exp1,payoff,hurdle
"r_participant[198,Intercept]",1.0003362101285704,exp1,payoff,hurdle
"r_participant[199,Intercept]",1.0002631273503477,exp1,payoff,hurdle
"r_participant[200,Intercept]",1.000348946405002,exp1,payoff,hurdle
"r_participant[201,Intercept]",1.000306224270123,exp1,payoff,hurdle
"r_participant[202,Intercept]",1.0001886711820636,exp1,payoff,hurdle
