parameter,rhat,experiment,condition,model_name
b_Intercept,1.000043396472396,exp2,cue,contrast
b_hu_Intercept,1.0002760593278237,exp2,cue,contrast
b_stim,1.0001353183654287,exp2,cue,contrast
b_condpresent,1.0001285286049784,exp2,cue,contrast
b_stim:condpresent,1.000170596988096,exp2,cue,contrast
b_hu_stim,1.000010127457827,exp2,cue,contrast
sd_participant__Intercept,1.0006405518612995,exp2,cue,contrast
sd_participant__condpresent,1.0001234320498413,exp2,cue,contrast
sd_participant__hu_Intercept,1.0003458124712437,exp2,cue,contrast
cor_participant__Intercept__condpresent,1.0001680124738253,exp2,cue,contrast
sigma,1.00004575600923,exp2,cue,contrast
Intercept,1.0001769576004853,exp2,cue,contrast
Intercept_hu,1.0002752580704275,exp2,cue,contrast
"r_participant[065,Intercept]",1.0003059035918729,exp2,cue,contrast
"r_participant[066,Intercept]",1.0000164733385006,exp2,cue,contrast
"r_participant[067,Intercept]",1.0000510273346808,exp2,cue,contrast
"r_participant[068,Intercept]",1.0001713395584808,exp2,cue,contrast
"r_participant[069,Intercept]",1.000028143531394,exp2,cue,contrast
"r_participant[070,Intercept]",1.0000925051100162,exp2,cue,contrast
"r_participant[071,Intercept]",1.0000243581966235,exp2,cue,contrast
"r_participant[072,Intercept]",1.0000438976354415,exp2,cue,contrast
"r_participant[073,Intercept]",1.0000343118373765,exp2,cue,contrast
"r_participant[074,Intercept]",1.0000009008553545,exp2,cue,contrast
"r_participant[075,Intercept]",1.0002444567884292,exp2,cue,contrast
"r_participant[076,Intercept]",1.0000651584203826,exp2,cue,contrast
"r_participant[077,Intercept]",1.0000567849789626,exp2,cue,contrast
"r_participant[078,Intercept]",1.0000623168234404,exp2,cue,contrast
"r_participant[079,Intercept]",1.0000206189758545,exp2,cue,contrast
"r_participant[080,Intercept]",1.0000801939928319,exp2,cue,contrast
"r_participant[081,Intercept]",0.9999710658019115,exp2,cue,contrast
"r_participant[082,Intercept]",0.9999941804287842,exp2,cue,contrast
"r_participant[083,Intercept]",1.0001532806908795,exp2,cue,contrast
"r_participant[084,Intercept]",1.000142817765122,exp2,cue,contrast
"r_participant[085,Intercept]",1.0000211970616113,exp2,cue,contrast
"r_participant[086,Intercept]",1.000015543381482,exp2,cue,contrast
"r_participant[087,Intercept]",1.0001102712129928,exp2,cue,contrast
"r_participant[088,Intercept]",1.0001103468227694,exp2,cue,contrast
"r_participant[089,Intercept]",0.9999959811610846,exp2,cue,contrast
"r_participant[090,Intercept]",0.999982352508337,exp2,cue,contrast
"r_participant[091,Intercept]",1.0000538161824746,exp2,cue,contrast
"r_participant[092,Intercept]",1.0001176239757126,exp2,cue,contrast
"r_participant[093,Intercept]",1.0000232628896073,exp2,cue,contrast
"r_participant[095,Intercept]",0.9999923207413935,exp2,cue,contrast
"r_participant[096,Intercept]",1.0000066459059038,exp2,cue,contrast
"r_participant[097,Intercept]",1.0000964276773987,exp2,cue,contrast
"r_participant[098,Intercept]",1.000017060991233,exp2,cue,contrast
"r_participant[099,Intercept]",1.0000798832437512,exp2,cue,contrast
"r_participant[100,Intercept]",1.0001239778517461,exp2,cue,contrast
"r_participant[101,Intercept]",1.000014610683122,exp2,cue,contrast
"r_participant[102,Intercept]",1.0000467337525023,exp2,cue,contrast
"r_participant[103,Intercept]",1.0000079888842064,exp2,cue,contrast
"r_participant[104,Intercept]",1.000043640158413,exp2,cue,contrast
"r_participant[105,Intercept]",0.9999936863399032,exp2,cue,contrast
"r_participant[106,Intercept]",1.0001135459172972,exp2,cue,contrast
"r_participant[107,Intercept]",1.0001649306140297,exp2,cue,contrast
"r_participant[108,Intercept]",1.0000950493902336,exp2,cue,contrast
"r_participant[109,Intercept]",1.0000430642019846,exp2,cue,contrast
"r_participant[110,Intercept]",0.9999635535698962,exp2,cue,contrast
"r_participant[111,Intercept]",1.0002232200755108,exp2,cue,contrast
"r_participant[112,Intercept]",1.0001846024335548,exp2,cue,contrast
"r_participant[113,Intercept]",1.0000080511394072,exp2,cue,contrast
"r_participant[114,Intercept]",1.0001074442236102,exp2,cue,contrast
"r_participant[115,Intercept]",1.0001923522620555,exp2,cue,contrast
"r_participant[065,condpresent]",1.0000784783823622,exp2,cue,contrast
"r_participant[066,condpresent]",1.0000065717526192,exp2,cue,contrast
"r_participant[067,condpresent]",1.0000010823144487,exp2,cue,contrast
"r_participant[068,condpresent]",1.0001612950860301,exp2,cue,contrast
"r_participant[069,condpresent]",1.0000806621579568,exp2,cue,contrast
"r_participant[070,condpresent]",1.0000248986122342,exp2,cue,contrast
"r_participant[071,condpresent]",1.0000565316652295,exp2,cue,contrast
"r_participant[072,condpresent]",0.9999671973505356,exp2,cue,contrast
"r_participant[073,condpresent]",0.999999137015314,exp2,cue,contrast
"r_participant[074,condpresent]",1.00008350846476,exp2,cue,contrast
"r_participant[075,condpresent]",1.0001132721114925,exp2,cue,contrast
"r_participant[076,condpresent]",1.0001209696805693,exp2,cue,contrast
"r_participant[077,condpresent]",1.0000460556241955,exp2,cue,contrast
"r_participant[078,condpresent]",0.9999852789870177,exp2,cue,contrast
"r_participant[079,condpresent]",1.0000386585024046,exp2,cue,contrast
"r_participant[080,condpresent]",1.000067064252901,exp2,cue,contrast
"r_participant[081,condpresent]",0.999959645702458,exp2,cue,contrast
"r_participant[082,condpresent]",1.0001285646819191,exp2,cue,contrast
"r_participant[083,condpresent]",1.0000844262955997,exp2,cue,contrast
