parameter,rhat,experiment,condition,model_name
b_Intercept,1.001558454716514,exp1,payoff,contrast
b_hu_Intercept,1.0011991589208795,exp1,payoff,contrast
b_stim,0.9999955571997425,exp1,payoff,contrast
b_condpresent,1.0004935125761787,exp1,payoff,contrast
b_stim:condpresent,1.0000783273347988,exp1,payoff,contrast
b_hu_stim,1.0001610819051776,exp1,payoff,contrast
sd_participant__Intercept,1.0004165668714318,exp1,payoff,contrast
sd_participant__condpresent,1.0000633473507323,exp1,payoff,contrast
sd_participant__hu_Intercept,1.0009491660550447,exp1,payoff,contrast
cor_participant__Intercept__condpresent,1.0002994783451882,exp1,payoff,contrast
sigma,1.000044698296425,exp1,payoff,contrast
Intercept,1.001446333648676,exp1,payoff,contrast
Intercept_hu,1.001193672008564,exp1,payoff,contrast
"r_participant[171,Intercept]",1.0011570635322904,exp1,payoff,contrast
"r_participant[172,Intercept]",1.0009745702954034,exp1,payoff,contrast
"r_participant[173,Intercept]",1.0009475538246326,exp1,payoff,contrast
"r_participant[174,Intercept]",1.0006170954469629,exp1,payoff,contrast
"r_participant[175,Intercept]",1.0009730521443934,exp1,payoff,contrast
"r_participant[176,Intercept]",1.0009254439093789,exp1,payoff,contrast
"r_participant[177,Intercept]",1.000840897744478,exp1,payoff,contrast
"r_participant[178,Intercept]",1.0007082833873744,exp1,payoff,contrast
"r_participant[179,Intercept]",1.0007776906515886,exp1,payoff,contrast
"r_participant[181,Intercept]",1.0011371684368606,exp1,payoff,contrast
"r_participant[182,Intercept]",1.00080963329071,exp1,payoff,contrast
"r_participant[183,Intercept]",1.0009171512222272,exp1,payoff,contrast
"r_participant[184,Intercept]",1.0004562343684416,exp1,payoff,contrast
"r_participant[185,Intercept]",1.0008500197080117,exp1,payoff,contrast
"r_participant[186,Intercept]",1.0009301073489547,exp1,payoff,contrast
"r_participant[187,Intercept]",1.0010939404031174,exp1,payoff,contrast
"r_participant[188,Intercept]",1.0009906654897338,exp1,payoff,contrast
"r_participant[189,Intercept]",1.0009500323438931,exp1,payoff,contrast
"r_participant[190,Intercept]",1.0009146635191668,exp1,payoff,contrast
"r_participant[191,Intercept]",1.0008699724568795,exp1,payoff,contrast
"r_participant[192,Intercept]",1.0007238215881997,exp1,payoff,contrast
