parameter,rhat,experiment,condition,model_name
b_Intercept,1.0015531987494153,exp2,cue,hurdle
b_hu_Intercept,1.001047466127466,exp2,cue,hurdle
b_stim,1.000059797398451,exp2,cue,hurdle
b_hu_stim,1.000238204148686,exp2,cue,hurdle
b_hu_condpresent,1.0001647936406433,exp2,cue,hurdle
b_hu_stim:condpresent,1.0002245235411202,exp2,cue,hurdle
sd_participant__Intercept,1.0022623468801397,exp2,cue,hurdle
sd_participant__hu_Intercept,1.0006197424366319,exp2,cue,hurdle
sd_participant__hu_condpresent,1.000050407365681,exp2,cue,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.000300372115155,exp2,cue,hurdle
sigma,1.0000247793673278,exp2,cue,hurdle
Intercept,1.001807314006027,exp2,cue,hurdle
Intercept_hu,1.0014549278114306,exp2,cue,hurdle
"r_participant[065,Intercept]",1.0008891082123617,exp2,cue,hurdle
"r_participant[066,Intercept]",1.0005951368537485,exp2,cue,hurdle
"r_participant[067,Intercept]",1.000918519849428,exp2,cue,hurdle
"r_participant[068,Intercept]",1.0004386822557911,exp2,cue,hurdle
"r_participant[069,Intercept]",1.0008874075817709,exp2,cue,hurdle
"r_participant[070,Intercept]",1.0007337429032834,exp2,cue,hurdle
"r_participant[071,Intercept]",1.0011805550494406,exp2,cue,hurdle
"r_participant[072,Intercept]",1.0006468584525963,exp2,cue,hurdle
"r_participant[073,Intercept]",1.0007820300815375,exp2,cue,hurdle
"r_participant[074,Intercept]",1.000929300853712,exp2,cue,hurdle
"r_participant[075,Intercept]",1.0006887960717907,exp2,cue,hurdle
"r_participant[076,Intercept]",1.0006428249803057,exp2,cue,hurdle
"r_participant[077,Intercept]",1.0006838587434788,exp2,cue,hurdle
"r_participant[078,Intercept]",1.0005614925891528,exp2,cue,hurdle
"r_participant[079,Intercept]",1.001012663514296,exp2,cue,hurdle
"r_participant[080,Intercept]",1.0009460760362128,exp2,cue,hurdle
"r_participant[081,Intercept]",1.0007776234312882,exp2,cue,hurdle
"r_participant[082,Intercept]",1.000642894008318,exp2,cue,hurdle
"r_participant[083,Intercept]",1.0009551994083108,exp2,cue,hurdle
"r_participant[084,Intercept]",1.000819867357066,exp2,cue,hurdle
"r_participant[085,Intercept]",1.0006169641572416,exp2,cue,hurdle
"r_participant[086,Intercept]",1.000975816046991,exp2,cue,hurdle
