parameter,rhat,experiment,condition,model_name
b_Intercept,1.0059929742895002,exp1,baserate,hurdle
b_hu_Intercept,1.0012573618345435,exp1,baserate,hurdle
b_stim,1.0002539074797512,exp1,baserate,hurdle
b_hu_stim,1.0000216011364238,exp1,baserate,hurdle
b_hu_condpresent,1.0009989985447605,exp1,baserate,hurdle
b_hu_stim:condpresent,1.0001359067845577,exp1,baserate,hurdle
sd_participant__Intercept,1.0003951048361517,exp1,baserate,hurdle
sd_participant__hu_Intercept,1.0022908886507793,exp1,baserate,hurdle
sd_participant__hu_condpresent,1.0004175251037222,exp1,baserate,hurdle
cor_participant__hu_Intercept__hu_condpresent,1.0006331066497576,exp1,baserate,hurdle
sigma,0.9999955436749112,exp1,baserate,hurdle
Intercept,1.0062998215806458,exp1,baserate,hurdle
Intercept_hu,1.0007547374673809,exp1,baserate,hurdle
"r_participant[001,Intercept]",1.0042485084963277,exp1,baserate,hurdle
"r_participant[002,Intercept]",1.0046888398308929,exp1,baserate,hurdle
"r_participant[003,Intercept]",1.0047209388212213,exp1,baserate,hurdle
"r_participant[004,Intercept]",1.0051619695789236,exp1,baserate,hurdle
"r_participant[005,Intercept]",1.0045220974786342,exp1,baserate,hurdle
"r_participant[006,Intercept]",1.0040077617632288,exp1,baserate,hurdle
"r_participant[008,Intercept]",1.0048712380297444,exp1,baserate,hurdle
"r_participant[009,Intercept]",1.0051968582560102,exp1,baserate,hurdle
"r_participant[010,Intercept]",1.0044738530783857,exp1,baserate,hurdle
"r_participant[011,Intercept]",1.0052207002428268,exp1,baserate,hurdle
"r_participant[012,Intercept]",1.0046784620558695,exp1,baserate,hurdle
"r_participant[013,Intercept]",1.0047078288616405,exp1,baserate,hurdle
"r_participant[014,Intercept]",1.0042423501821804,exp1,baserate,hurdle
"r_participant[015,Intercept]",1.0053922564634676,exp1,baserate,hurdle
"r_participant[016,Intercept]",1.00494408013743,exp1,baserate,hurdle
"r_participant[017,Intercept]",1.0047089099468651,exp1,baserate,hurdle
"r_participant[018,Intercept]",1.0045774736314341,exp1,baserate,hurdle
"r_participant[019,Intercept]",1.0046922271227336,exp1,baserate,hurdle
"r_participant[020,Intercept]",1.004573976147128,exp1,baserate,hurdle
"r_participant[021,Intercept]",1.0048734185638475,exp1,baserate,hurdle
"r_participant[022,Intercept]",1.0048741632917044,exp1,baserate,hurdle
"r_participant[023,Intercept]",1.0047609864081033,exp1,baserate,hurdle
"r_participant[024,Intercept]",1.0044516075964067,exp1,baserate,hurdle
"r_participant[025,Intercept]",1.004102035759665,exp1,baserate,hurdle
"r_participant[026,Intercept]",1.0047540276462679,exp1,baserate,hurdle
"r_participant[027,Intercept]",1.0043289027147313,exp1,baserate,hurdle
"r_participant[029,Intercept]",1.004592593257634,exp1,baserate,hurdle
"r_participant[030,Intercept]",1.0047297729998155,exp1,baserate,hurdle
"r_participant[032,Intercept]",1.004507011343386,exp1,baserate,hurdle
"r_participant[033,Intercept]",1.0045275277886574,exp1,baserate,hurdle
"r_participant[034,Intercept]",1.0049834534422117,exp1,baserate,hurdle
"r_participant[035,Intercept]",1.005134385835603,exp1,baserate,hurdle
"r_participant[036,Intercept]",1.0046175939530029,exp1,baserate,hurdle
"r_participant[037,Intercept]",1.0050950128421927,exp1,baserate,hurdle
"r_participant[038,Intercept]",1.0048492216800065,exp1,baserate,hurdle
"r_participant[039,Intercept]",1.0037992155530664,exp1,baserate,hurdle
"r_participant[040,Intercept]",1.0043896671684223,exp1,baserate,hurdle
"r_participant[041,Intercept]",1.0046357268951378,exp1,baserate,hurdle
"r_participant[042,Intercept]",1.0046801829623149,exp1,baserate,hurdle
"r_participant[043,Intercept]",1.0046210350301148,exp1,baserate,hurdle
"r_participant[044,Intercept]",1.004735884121637,exp1,baserate,hurdle
"r_participant[045,Intercept]",1.0040865483579413,exp1,baserate,hurdle
"r_participant[046,Intercept]",1.0043166286265588,exp1,baserate,hurdle
"r_participant[047,Intercept]",1.0047770136154759,exp1,baserate,hurdle
"r_participant[048,Intercept]",1.0040748306757836,exp1,baserate,hurdle
"r_participant[051,Intercept]",1.0045332507517177,exp1,baserate,hurdle
"r_participant[053,Intercept]",1.0044307788679756,exp1,baserate,hurdle
"r_participant[054,Intercept]",1.0049043850315649,exp1,baserate,hurdle
"r_participant[055,Intercept]",1.0045123438847576,exp1,baserate,hurdle
"r_participant[056,Intercept]",1.0045438475882393,exp1,baserate,hurdle
"r_participant[057,Intercept]",1.0044266602676661,exp1,baserate,hurdle
"r_participant[058,Intercept]",1.004664372436816,exp1,baserate,hurdle
"r_participant[059,Intercept]",1.0042736776660623,exp1,baserate,hurdle
"r_participant[060,Intercept]",1.0046643669895092,exp1,baserate,hurdle
"r_participant[061,Intercept]",1.0043616581555677,exp1,baserate,hurdle
"r_participant[062,Intercept]",1.0042387242489446,exp1,baserate,hurdle
"r_participant[063,Intercept]",1.0042765313125372,exp1,baserate,hurdle
"r_participant__hu[001,Intercept]",1.0002976100750924,exp1,baserate,hurdle
"r_participant__hu[002,Intercept]",1.0002651567067558,exp1,baserate,hurdle
"r_participant__hu[003,Intercept]",1.0004013895328443,exp1,baserate,hurdle
"r_participant__hu[004,Intercept]",1.000228861439531,exp1,baserate,hurdle
"r_participant__hu[005,Intercept]",1.0002165343692326,exp1,baserate,hurdle
"r_participant__hu[006,Intercept]",1.000298258886748,exp1,baserate,hurdle
"r_participant__hu[008,Intercept]",1.000301270536121,exp1,baserate,hurdle
"r_participant__hu[009,Intercept]",1.0003438214673976,exp1,baserate,hurdle
"r_participant__hu[010,Intercept]",1.0003600199345182,exp1,baserate,hurdle
"r_participant__hu[011,Intercept]",1.000382915755638,exp1,baserate,hurdle
"r_participant__hu[012,Intercept]",1.0002141072334225,exp1,baserate,hurdle
"r_participant__hu[013,Intercept]",1.0003179076077542,exp1,baserate,hurdle
"r_participant__hu[014,Intercept]",1.0005055817297248,exp1,baserate,hurdle
"r_participant__hu[015,Intercept]",1.0005283978846014,exp1,baserate,hurdle
"r_participant__hu[016,Intercept]",1.0005705987180242,exp1,baserate,hurdle
"r_participant__hu[017,Intercept]",1.0004713842692998,exp1,baserate,hurdle
"r_participant__hu[018,Intercept]",1.0002975474868727,exp1,baserate,hurdle
"r_participant__hu[019,Intercept]",1.0004270903763877,exp1,baserate,hurdle
"r_participant__hu[020,Intercept]",1.0005241700182532,exp1,baserate,hurdle
"r_participant__hu[021,Intercept]",1.000444201896647,exp1,baserate,hurdle
"r_participant__hu[022,Intercept]",1.0002040219581545,exp1,baserate,hurdle
"r_participant__hu[023,Intercept]",1.0003628016487234,exp1,baserate,hurdle
"r_participant__hu[024,Intercept]",1.0002099617461675,exp1,baserate,hurdle
"r_participant__hu[025,Intercept]",1.0003219292094083,exp1,baserate,hurdle
"r_participant__hu[026,Intercept]",1.0003350264600608,exp1,baserate,hurdle
"r_participant__hu[027,Intercept]",1.0002803469420798,exp1,baserate,hurdle
"r_participant__hu[029,Intercept]",1.0005245103519271,exp1,baserate,hurdle
"r_participant__hu[030,Intercept]",1.0002596559237231,exp1,baserate,hurdle
"r_participant__hu[032,Intercept]",1.0002836596811855,exp1,baserate,hurdle
"r_participant__hu[033,Intercept]",1.0003898066379493,exp1,baserate,hurdle
"r_participant__hu[034,Intercept]",1.0004145810114893,exp1,baserate,hurdle
"r_participant__hu[035,Intercept]",1.0002229672695213,exp1,baserate,hurdle
"r_participant__hu[036,Intercept]",1.0007845024143422,exp1,baserate,hurdle
"r_participant__hu[037,Intercept]",1.0001627636431396,exp1,baserate,hurdle
"r_participant__hu[038,Intercept]",1.0004926174735405,exp1,baserate,hurdle
"r_participant__hu[039,Intercept]",1.0003142930701558,exp1,baserate,hurdle
"r_participant__hu[040,Intercept]",1.000237977760604,exp1,baserate,hurdle
"r_participant__hu[041,Intercept]",1.0003479433425981,exp1,baserate,hurdle
"r_participant__hu[042,Intercept]",1.0004059001951822,exp1,baserate,hurdle
"r_participant__hu[043,Intercept]",1.0004728131460279,exp1,baserate,hurdle
"r_participant__hu[044,Intercept]",1.000234247802659,exp1,baserate,hurdle
"r_participant__hu[045,Intercept]",1.0003429137398039,exp1,baserate,hurdle
"r_participant__hu[046,Intercept]",1.000530773949497,exp1,baserate,hurdle
"r_participant__hu[047,Intercept]",1.0003881653991835,exp1,baserate,hurdle
"r_participant__hu[048,Intercept]",1.0004715088412022,exp1,baserate,hurdle
"r_participant__hu[051,Intercept]",1.0004082944212425,exp1,baserate,hurdle
"r_participant__hu[053,Intercept]",1.0002933757840107,exp1,baserate,hurdle
"r_participant__hu[054,Intercept]",1.0004752091168214,exp1,baserate,hurdle
"r_participant__hu[055,Intercept]",1.0003198782842968,exp1,baserate,hurdle
"r_participant__hu[056,Intercept]",1.000570469519073,exp1,baserate,hurdle
"r_participant__hu[057,Intercept]",1.0005917845217878,exp1,baserate,hurdle
